"psu","HH1","HH2","HH7","hhsex","helevel","WS7","WS11","HW3","windex5","HW1","HW4","HW5"
1,1,1,1,1,0,8,18,NA,2,4,NA,2
1,1,2,1,1,4,2,14,1,5,1,NA,NA
1,1,3,1,1,0,2,11,1,5,1,NA,NA
1,1,4,1,1,3,2,14,1,5,1,NA,NA
1,1,5,1,2,0,2,12,1,5,1,NA,NA
1,1,6,1,1,0,2,18,1,3,1,NA,NA
1,1,7,1,1,4,2,12,1,5,1,NA,NA
1,1,8,1,2,0,2,14,1,5,1,NA,NA
1,1,9,1,1,0,2,11,1,5,1,NA,NA
1,1,10,1,1,0,2,18,1,4,1,NA,NA
1,1,11,1,1,4,2,12,1,5,1,NA,NA
1,1,12,1,1,0,2,14,1,3,1,NA,NA
1,1,13,1,1,0,2,12,1,5,1,NA,NA
1,1,14,1,1,3,2,11,1,5,1,NA,NA
1,1,15,1,1,1,2,14,1,4,1,NA,NA
1,1,16,1,2,0,1,12,1,5,1,NA,NA
1,1,17,1,1,0,2,18,1,5,1,NA,NA
1,1,18,1,2,0,2,18,1,5,1,NA,NA
1,1,19,1,1,0,2,11,1,4,1,NA,NA
1,1,20,1,1,1,2,11,1,4,1,NA,NA
2,2,1,1,1,1,1,11,1,4,1,NA,NA
2,2,2,1,NA,NA,NA,NA,NA,0,NA,NA,NA
2,2,3,1,NA,NA,NA,NA,NA,0,NA,NA,NA
2,2,4,1,1,4,2,11,1,5,1,NA,NA
2,2,5,1,2,0,2,11,1,4,1,NA,NA
2,2,6,1,1,1,2,11,1,5,1,NA,NA
2,2,7,1,1,4,1,11,1,5,1,NA,NA
2,2,8,1,1,4,2,11,1,5,1,NA,NA
2,2,9,1,1,4,2,11,1,5,1,NA,NA
2,2,10,1,1,3,1,11,1,5,1,NA,NA
2,2,11,1,1,3,2,11,1,5,1,NA,NA
2,2,12,1,NA,NA,NA,NA,NA,0,NA,NA,NA
2,2,13,1,1,0,2,11,1,3,1,NA,NA
2,2,14,1,1,4,2,11,1,5,1,NA,NA
2,2,15,1,1,3,2,11,1,5,1,NA,NA
2,2,16,1,NA,NA,NA,NA,NA,0,NA,NA,NA
2,2,17,1,1,0,2,11,1,4,1,NA,NA
2,2,18,1,1,0,2,11,1,5,1,NA,NA
2,2,19,1,1,4,2,11,1,5,1,NA,NA
2,2,20,1,1,0,2,11,1,5,1,NA,NA
3,3,1,1,1,0,1,18,2,1,3,NA,2
3,3,2,1,NA,NA,NA,NA,NA,0,NA,NA,NA
3,3,3,1,1,0,2,12,1,2,3,NA,NA
3,3,4,1,1,0,2,13,1,1,3,NA,NA
3,3,5,1,1,0,2,13,1,2,3,NA,NA
3,3,6,1,1,0,2,12,1,2,3,NA,NA
3,3,7,1,1,0,2,12,2,1,1,NA,1
3,3,8,1,1,0,2,95,2,1,1,NA,1
3,3,9,1,1,0,2,12,1,4,1,NA,NA
3,3,10,1,1,0,2,12,2,1,1,NA,1
3,3,11,1,NA,NA,NA,NA,NA,0,NA,NA,NA
3,3,12,1,1,0,2,12,2,1,3,NA,1
3,3,13,1,1,0,2,12,2,1,1,NA,1
3,3,14,1,1,0,2,12,2,2,1,NA,1
3,3,15,1,1,0,2,95,2,1,3,NA,1
3,3,16,1,1,0,2,95,1,1,3,NA,NA
3,3,17,1,1,0,2,12,1,2,1,NA,NA
3,3,18,1,1,0,2,12,1,2,1,NA,NA
3,3,19,1,1,0,2,13,2,1,3,NA,1
3,3,20,1,1,1,2,12,1,2,1,NA,NA
4,4,1,1,1,2,2,11,1,5,1,NA,NA
